# Top 50 functions by inclusive instruction-read share (Ir).
# Captured on AMD Ryzen 7 5800X / WSL Ubuntu 24.04 / GCC 13.3
# Workload: scripts/perf/workload-alarm-storm.txt
#
11,293,984 (100.0%)  PROGRAM TOTALS
2,012,273 (17.82%)  ./elf/./elf/dl-lookup.c:do_lookup_x [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  770,854 ( 6.83%)  ./elf/../sysdeps/generic/dl-new-hash.h:_dl_lookup_symbol_x
  386,388 ( 3.42%)  ./elf/./elf/dl-lookup.c:_dl_lookup_symbol_x [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  318,404 ( 2.82%)  ./malloc/./malloc/malloc.c:_int_free [/usr/lib/x86_64-linux-gnu/libc.so.6]
  288,544 ( 2.55%)  ./malloc/./malloc/malloc.c:_int_malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
  283,918 ( 2.51%)  ???:nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::input_stream_adapter>::get() [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
  274,855 ( 2.43%)  ./string/../sysdeps/x86_64/multiarch/../multiarch/strcmp-sse2.S:strcmp [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  261,512 ( 2.32%)  ./elf/./elf/dl-reloc.c:_dl_relocate_object [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  242,789 ( 2.15%)  ./elf/./elf/dl-lookup.c:check_match [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  237,479 ( 2.10%)  ./malloc/./malloc/malloc.c:malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
  212,967 ( 1.89%)  ./elf/../sysdeps/x86_64/dl-machine.h:_dl_relocate_object
  201,915 ( 1.79%)  ./elf/./elf/do-rel.h:_dl_relocate_object
  175,912 ( 1.56%)  ???:std::vformat[abi:cxx11](std::basic_string_view<char, std::char_traits<char> >, std::basic_format_args<std::basic_format_context<std::__format::_Sink_iter<char>, char> >) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
  170,645 ( 1.51%)  ./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
  141,576 ( 1.25%)  ./malloc/./malloc/malloc.c:free [/usr/lib/x86_64-linux-gnu/libc.so.6]
  123,912 ( 1.10%)  ./libio/./libio/getc.c:getc [/usr/lib/x86_64-linux-gnu/libc.so.6]
  120,960 ( 1.07%)  ./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
  101,338 ( 0.90%)  ???:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   99,771 ( 0.88%)  ./nptl/./nptl/pthread_mutex_lock.c:pthread_mutex_lock@@GLIBC_2.2.5 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   98,295 ( 0.87%)  ???:sqlite3Parser [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   95,434 ( 0.84%)  ???:sqlite3GetToken [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   85,907 ( 0.76%)  ???:std::basic_istream<char, std::char_traits<char> >& std::getline<char, std::char_traits<char>, std::allocator<char> >(std::basic_istream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char) [/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33]
   80,524 ( 0.71%)  ???:nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::json_value::destroy(nlohmann::json_abi_v3_11_3::detail::value_t)'2 [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   77,546 ( 0.69%)  ???:std::__format::_Sink<char>::_M_write(std::basic_string_view<char, std::char_traits<char> >) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   73,041 ( 0.65%)  ./nptl/./nptl/pthread_mutex_unlock.c:pthread_mutex_unlock@@GLIBC_2.2.5 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   66,550 ( 0.59%)  ./string/../sysdeps/x86_64/multiarch/memchr-avx2.S:__memchr_avx2 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   66,448 ( 0.59%)  ???:sqlite3_str_vappendf [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   64,640 ( 0.57%)  ???:operator new(unsigned long) [/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33]
   63,677 ( 0.56%)  ./libio/./libio/ioungetc.c:ungetc [/usr/lib/x86_64-linux-gnu/libc.so.6]
   61,282 ( 0.54%)  ???:nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::input_stream_adapter>::scan() [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   60,011 ( 0.53%)  ???:sqlite3VdbeExec [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   58,915 ( 0.52%)  ???:nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::input_stream_adapter>::scan_string() [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   58,345 ( 0.52%)  ./string/../sysdeps/x86_64/multiarch/strlen-avx2.S:__strlen_avx2 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   57,708 ( 0.51%)  ???:decltype(auto) std::basic_format_arg<std::basic_format_context<std::__format::_Sink_iter<char>, char> >::_M_visit<std::__format::_Formatting_scanner<std::__format::_Sink_iter<char>, char>::_M_format_arg(unsigned long)::{lambda(auto:1&)#1}>(std::__format::_Formatting_scanner<std::__format::_Sink_iter<char>, char>::_M_format_arg(unsigned long)::{lambda(auto:1&)#1}&&, std::__format::_Arg_t) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   57,322 ( 0.51%)  ./string/../sysdeps/x86_64/multiarch/memcmp-avx2-movbe.S:__memcmp_avx2_movbe [/usr/lib/x86_64-linux-gnu/libc.so.6]
   55,792 ( 0.49%)  ???:void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0] [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   50,415 ( 0.45%)  ???:nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>::json_value::destroy(nlohmann::json_abi_v3_11_3::detail::value_t) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   48,942 ( 0.43%)  ???:g_value_register_transform_func [/usr/lib/x86_64-linux-gnu/libgobject-2.0.so.0.8000.0]
   48,342 ( 0.43%)  ./time/./time/strftime_l.c:__strftime_internal [/usr/lib/x86_64-linux-gnu/libc.so.6]
   45,929 ( 0.41%)  ???:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   41,689 ( 0.37%)  ./elf/./elf/dl-version.c:_dl_check_map_versions [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
   41,304 ( 0.37%)  ./libio/./libio/libioP.h:getc
   38,049 ( 0.34%)  ???:sqlite3StrICmp [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   38,016 ( 0.34%)  ???:sqlite3Malloc [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   37,862 ( 0.34%)  ./libio/./libio/genops.c:_IO_sputbackc [/usr/lib/x86_64-linux-gnu/libc.so.6]
   36,602 ( 0.32%)  ???:sqlite3Parser'2 [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   36,581 ( 0.32%)  ???:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
