# Top 50 functions by inclusive instruction-read share (Ir).
# Captured on AMD Ryzen 7 5800X / WSL Ubuntu 24.04 / GCC 13.3
# Workload: scripts/perf/workload-baseline.txt
#
10,688,303 (100.0%)  PROGRAM TOTALS
2,011,854 (18.82%)  ./elf/./elf/dl-lookup.c:do_lookup_x [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  770,308 ( 7.21%)  ./elf/../sysdeps/generic/dl-new-hash.h:_dl_lookup_symbol_x
  386,291 ( 3.61%)  ./elf/./elf/dl-lookup.c:_dl_lookup_symbol_x [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  286,858 ( 2.68%)  ./malloc/./malloc/malloc.c:_int_malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
  283,918 ( 2.66%)  ???:nlohmann::json_abi_v3_11_3::detail::lexer<nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, nlohmann::json_abi_v3_11_3::detail::input_stream_adapter>::get() [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
  276,810 ( 2.59%)  ./malloc/./malloc/malloc.c:_int_free [/usr/lib/x86_64-linux-gnu/libc.so.6]
  274,830 ( 2.57%)  ./string/../sysdeps/x86_64/multiarch/../multiarch/strcmp-sse2.S:strcmp [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  261,512 ( 2.45%)  ./elf/./elf/dl-reloc.c:_dl_relocate_object [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  242,730 ( 2.27%)  ./elf/./elf/dl-lookup.c:check_match [/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2]
  212,967 ( 1.99%)  ./elf/../sysdeps/x86_64/dl-machine.h:_dl_relocate_object
  204,525 ( 1.91%)  ./malloc/./malloc/malloc.c:malloc [/usr/lib/x86_64-linux-gnu/libc.so.6]
  201,915 ( 1.89%)  ./elf/./elf/do-rel.h:_dl_relocate_object
  149,931 ( 1.40%)  ./string/../sysdeps/x86_64/multiarch/memmove-vec-unaligned-erms.S:__memcpy_avx_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
  145,894 ( 1.36%)  ???:std::vformat[abi:cxx11](std::basic_string_view<char, std::char_traits<char> >, std::basic_format_args<std::basic_format_context<std::__format::_Sink_iter<char>, char> >) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
  120,964 ( 1.13%)  ./malloc/./malloc/malloc.c:free [/usr/lib/x86_64-linux-gnu/libc.so.6]
  120,097 ( 1.12%)  ./string/../sysdeps/x86_64/multiarch/memset-vec-unaligned-erms.S:__memset_avx2_unaligned_erms [/usr/lib/x86_64-linux-gnu/libc.so.6]
  116,226 ( 1.09%)  ???:sqlite3Parser [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
  103,399 ( 0.97%)  ???:sqlite3GetToken [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
  101,338 ( 0.95%)  ???:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::push_back(char) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   95,947 ( 0.90%)  ./nptl/./nptl/pthread_mutex_lock.c:pthread_mutex_lock@@GLIBC_2.2.5 [/usr/lib/x86_64-linux-gnu/libc.so.6]
